年月日,平均気温(℃)
2019/1/1,4.2
2019/1/2,4.3
2019/1/3,3.7
2019/1/4,4
2019/1/5,6
2019/1/6,4.1
2019/1/7,3.9
2019/1/8,3.4
2019/1/9,4
2019/1/10,0.3
2019/1/11,5.8
2019/1/12,3.9
2019/1/13,5.5
2019/1/14,4
2019/1/15,3
2019/1/16,5.3
2019/1/17,5.4
2019/1/18,4.9
2019/1/19,5
2019/1/20,5.8
2019/1/21,4.9
2019/1/22,3.7
2019/1/23,4.9
2019/1/24,5.7
2019/1/25,4.5
2019/1/26,4
2019/1/27,4.3
2019/1/28,4.5
2019/1/29,5.4
2019/1/30,3.9
2019/1/31,4
2019/2/1,3.6
2019/2/2,4.8
2019/2/3,6.7
2019/2/4,10.2
2019/2/5,6
2019/2/6,5.3
2019/2/7,8.5
2019/2/8,4.6
2019/2/9,0.3
2019/2/10,3
2019/2/11,2.4
2019/2/12,5.2
2019/2/13,4.9
2019/2/14,3.7
2019/2/15,2.2
2019/2/16,6.1
2019/2/17,6.1
2019/2/18,6.7
2019/2/19,8
2019/2/20,11.5
2019/2/21,9.7
2019/2/22,8.3
2019/2/23,8.4
2019/2/24,7.7
2019/2/25,10.8
2019/2/26,9.8
2019/2/27,7.4
2019/2/28,6.7
2019/3/1,8.9
2019/3/2,10
2019/3/3,6.3
2019/3/4,7.6
2019/3/5,9.5
2019/3/6,10
2019/3/7,7.9
2019/3/8,6.8
2019/3/9,9
2019/3/10,11.5
2019/3/11,11.8
2019/3/12,11
2019/3/13,10.8
2019/3/14,7.6
2019/3/15,8.3
2019/3/16,8.2
2019/3/17,8.2
2019/3/18,8.9
2019/3/19,11.6
2019/3/20,14.1
2019/3/21,17
2019/3/22,14.7
2019/3/23,6.2
2019/3/24,7
2019/3/25,9.4
2019/3/26,11.5
2019/3/27,13.3
2019/3/28,12.8
2019/3/29,7.6
2019/3/30,8.2
2019/3/31,9.9
2019/4/1,7.8
2019/4/2,6.5
2019/4/3,7.4
2019/4/4,9.8
2019/4/5,13.9
2019/4/6,15.1
2019/4/7,15.1
2019/4/8,9.1
2019/4/9,10.2
2019/4/10,4.5
2019/4/11,10.1
2019/4/12,9.1
2019/4/13,11.1
2019/4/14,13.8
2019/4/15,15.7
2019/4/16,14.4
2019/4/17,14.3
2019/4/18,16.7
2019/4/19,18
2019/4/20,14.2
2019/4/21,17.2
2019/4/22,19.3
2019/4/23,18.6
2019/4/24,18.2
2019/4/25,20.5
2019/4/26,12.1
2019/4/27,10.3
2019/4/28,12.1
2019/4/29,14.3
2019/4/30,14.2
2019/5/1,17.6
2019/5/2,18
2019/5/3,17.8
2019/5/4,16.7
2019/5/5,17.5
2019/5/6,17.9
2019/5/7,14.3
2019/5/8,15.5
2019/5/9,17.2
2019/5/10,19.6
2019/5/11,20.5
2019/5/12,17.7
2019/5/13,17.7
2019/5/14,17.1
2019/5/15,18.5
2019/5/16,19
2019/5/17,19.9
2019/5/18,19.4
2019/5/19,19.9
2019/5/20,19.3
2019/5/21,19.2
2019/5/22,19
2019/5/23,20.6
2019/5/24,22.6
2019/5/25,23.3
2019/5/26,24.5
